epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
91,3576.56,0.53295,0.24587,0.86744,0.99173,0.98738,0.99356,0.87421,0.59227,0.2474,0.89606,0.00034227,0.00034227,0.00034227
92,3615.28,0.5297,0.24079,0.86267,0.99296,0.98588,0.9935,0.87313,0.59277,0.24765,0.89634,0.000296546,0.000296546,0.000296546
93,3653.88,0.52724,0.23885,0.86391,0.99425,0.98448,0.99349,0.87397,0.59264,0.24813,0.89622,0.000255513,0.000255513,0.000255513
94,3692.47,0.52341,0.236,0.86229,0.99465,0.98419,0.99352,0.87355,0.59296,0.24813,0.89644,0.000219212,0.000219212,0.000219212
95,3731.08,0.52281,0.23603,0.8624,0.99364,0.9837,0.99344,0.87266,0.59347,0.24846,0.89655,0.000187678,0.000187678,0.000187678
96,3769.8,0.51948,0.23373,0.86155,0.99557,0.98281,0.99344,0.87313,0.59391,0.24867,0.89674,0.000160943,0.000160943,0.000160943
97,3808.33,0.52305,0.23521,0.86134,0.99478,0.98344,0.99343,0.87346,0.59441,0.24867,0.89698,0.000139032,0.000139032,0.000139032
98,3847.71,0.52009,0.23339,0.86222,0.99495,0.98281,0.99344,0.8735,0.59445,0.24888,0.89712,0.000121968,0.000121968,0.000121968
99,3886.56,0.51871,0.23365,0.862,0.99529,0.98154,0.99344,0.87349,0.59463,0.24903,0.89727,0.000109768,0.000109768,0.000109768
100,3925.21,0.51878,0.23398,0.8598,0.99494,0.98155,0.99342,0.87348,0.59487,0.24928,0.89732,0.000102443,0.000102443,0.000102443
